[2026-04-20T17:08:59.269Z] LOG   Scraping jobs...

[2026-04-20T17:09:09.188Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8509975002?gh_jid=8509975002
[2026-04-20T17:09:09.229Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8456892002?gh_jid=8456892002
[2026-04-20T17:09:09.248Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8465227002?gh_jid=8465227002
[2026-04-20T17:09:09.613Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8403527002?gh_jid=8403527002
[2026-04-20T17:09:09.730Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8405356002?gh_jid=8405356002
[2026-04-20T17:09:12.388Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8426614002?gh_jid=8426614002
[2026-04-20T17:09:12.884Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8434587002?gh_jid=8434587002
[2026-04-20T17:09:12.972Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8480742002?gh_jid=8480742002
[2026-04-20T17:09:13.326Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8477914002?gh_jid=8477914002
[2026-04-20T17:09:13.595Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8434636002?gh_jid=8434636002
[2026-04-20T17:09:15.594Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8420120002?gh_jid=8420120002
[2026-04-20T17:09:16.051Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8454717002?gh_jid=8454717002
[2026-04-20T17:09:16.991Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8423035002?gh_jid=8423035002
[2026-04-20T17:09:17.009Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8242776002?gh_jid=8242776002
[2026-04-20T17:09:18.055Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8327214002?gh_jid=8327214002
[2026-04-20T17:09:20.907Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8509902002?gh_jid=8509902002
[2026-04-20T17:09:21.108Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8478827002?gh_jid=8478827002
[2026-04-20T17:09:21.380Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8505552002?gh_jid=8505552002
[2026-04-20T17:09:21.571Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8505553002?gh_jid=8505553002
[2026-04-20T17:09:21.688Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8300434002?gh_jid=8300434002
[2026-04-20T17:09:24.412Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8463734002?gh_jid=8463734002
[2026-04-20T17:09:24.905Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8353950002?gh_jid=8353950002
[2026-04-20T17:09:25.259Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8509670002?gh_jid=8509670002
[2026-04-20T17:09:25.573Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8349704002?gh_jid=8349704002
[2026-04-20T17:09:25.757Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8353692002?gh_jid=8353692002
[2026-04-20T17:09:27.908Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8499703002?gh_jid=8499703002
[2026-04-20T17:09:29.152Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8401256002?gh_jid=8401256002
[2026-04-20T17:09:29.180Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8097465002?gh_jid=8097465002
[2026-04-20T17:09:29.209Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8097487002?gh_jid=8097487002
[2026-04-20T17:09:29.581Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8284810002?gh_jid=8284810002
[2026-04-20T17:09:32.213Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8394076002?gh_jid=8394076002
[2026-04-20T17:09:33.070Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8423371002?gh_jid=8423371002
[2026-04-20T17:09:33.354Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8284812002?gh_jid=8284812002
[2026-04-20T17:09:33.437Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8284805002?gh_jid=8284805002
[2026-04-20T17:09:33.942Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8311695002?gh_jid=8311695002
[2026-04-20T17:09:37.876Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8442641002?gh_jid=8442641002
[2026-04-20T17:09:38.015Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8513655002?gh_jid=8513655002
[2026-04-20T17:09:38.290Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8422801002?gh_jid=8422801002
[2026-04-20T17:09:38.355Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8393836002?gh_jid=8393836002
[2026-04-20T17:09:38.824Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8344579002?gh_jid=8344579002
[2026-04-20T17:09:41.948Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8458281002?gh_jid=8458281002
[2026-04-20T17:09:42.275Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8469417002?gh_jid=8469417002
[2026-04-20T17:09:42.321Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8454349002?gh_jid=8454349002
[2026-04-20T17:09:42.507Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8474364002?gh_jid=8474364002
[2026-04-20T17:09:43.033Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8500434002?gh_jid=8500434002
[2026-04-20T17:09:46.323Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8415972002?gh_jid=8415972002
[2026-04-20T17:09:46.553Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8484679002?gh_jid=8484679002
[2026-04-20T17:09:47.001Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8474373002?gh_jid=8474373002
[2026-04-20T17:09:47.005Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8507656002?gh_jid=8507656002
[2026-04-20T17:09:47.198Z] LOG   [scraper] https://careers.appsflyer.com/jobs/position/8451331002?gh_jid=8451331002
[2026-04-20T17:09:48.502Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8464846002
[2026-04-20T17:09:48.524Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8508895002
[2026-04-20T17:09:48.624Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8510970002
[2026-04-20T17:09:48.679Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8512146002
[2026-04-20T17:09:48.685Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8444954002
[2026-04-20T17:09:49.469Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8506905002
[2026-04-20T17:09:49.470Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8395120002
[2026-04-20T17:09:49.530Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8391496002
[2026-04-20T17:09:49.542Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8474894002
[2026-04-20T17:09:49.677Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8438605002
[2026-04-20T17:09:50.443Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8390060002
[2026-04-20T17:09:50.455Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8504765002
[2026-04-20T17:09:50.456Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8430528002
[2026-04-20T17:09:50.478Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8495119002
[2026-04-20T17:09:50.635Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8354260002
[2026-04-20T17:09:51.406Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8433472002
[2026-04-20T17:09:51.456Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8139892002
[2026-04-20T17:09:51.517Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8450989002
[2026-04-20T17:09:51.573Z] LOG   [scraper] https://job-boards.greenhouse.io/calendly/jobs/8472457002
